e1/do,e2/do,p1/do,p2/do,Nr,fu/fy,Fmax/fundt
1.9,1.6,0.0,0.0,1,1.49,2.14
2.2,2.1,0.0,0.0,1,1.49,2.25
0.9,2.0,0.0,0.0,1,1.67,0.96
0.9,2.0,0.0,0.0,1,1.67,0.88
1.3,2.0,0.0,0.0,1,1.67,1.36
1.3,2.0,0.0,0.0,1,1.67,1.34
1.8,2.0,0.0,0.0,1,1.67,1.71
0.9,2.0,0.0,0.0,1,1.63,0.98
0.9,2.0,0.0,0.0,1,1.63,0.91
1.3,2.3,0.0,0.0,1,1.46,1.39
1.3,2.3,0.0,0.0,1,1.46,1.31
1.6,2.3,0.0,0.0,1,1.47,1.50
1.3,2.3,0.0,0.0,1,1.47,1.54
1.3,2.3,0.0,0.0,1,1.47,1.57
1.3,2.3,0.0,0.0,1,1.47,1.56
0.9,2.3,0.0,0.0,1,1.47,0.99
0.9,2.3,0.0,0.0,1,1.47,0.99
1.0,2.5,0.0,0.0,1,1.47,1.11
1.0,2.5,0.0,0.0,1,1.47,1.10
1.3,2.5,0.0,0.0,1,1.47,1.55
1.3,2.5,0.0,0.0,1,1.47,1.55
0.9,2.3,0.0,0.0,1,1.47,1.05
0.9,2.1,0.0,0.0,1,1.61,1.00
1.4,2.1,0.0,0.0,1,1.61,1.62
1.9,2.1,0.0,0.0,1,1.61,2.13
0.9,3.6,1.9,0.0,2,1.61,1.34
0.9,3.6,2.6,0.0,2,1.61,1.59
0.9,3.6,3.7,0.0,2,1.61,1.62
1.8,3.6,1.9,0.0,2,1.61,1.92
1.8,3.6,2.6,0.0,2,1.61,2.28
1.9,3.6,3.7,0.0,2,1.61,2.33
0.9,2.1,0.0,0.0,1,1.13,1.00
1.4,2.1,0.0,0.0,1,1.13,1.61
1.9,2.1,0.0,0.0,1,1.13,2.18
2.3,2.1,0.0,0.0,1,1.13,2.70
0.9,3.6,1.9,0.0,2,1.13,1.48
0.9,3.6,2.6,0.0,2,1.13,1.73
0.9,3.6,3.6,0.0,2,1.13,1.94
1.8,3.6,1.9,0.0,2,1.13,2.01
1.8,3.6,2.6,0.0,2,1.13,2.28
1.9,3.6,3.7,0.0,2,1.13,2.58
1.4,2.8,0.0,0.0,1,1.40,2.37
2.8,4.7,0.0,0.0,1,1.40,3.43
